segment_id,edu_conversion,edu_engagement,premium_conversion,discount_conversion,response_pattern
35.0,0.02175789739778,0.10009849489098,0.02061164072902,0.02189206048829,balanced
10.0,0.02149407976273,0.08529427392557,0.02096238454077,0.0200103196591,balanced
19.0,0.02103334433191,0.08702290063602,0.02031910366787,0.0208241582338,balanced
20.0,0.01927020819099,0.0930076386702,0.0206618135372,0.02738782553107,discount_preference
29.0,0.02183272920078,0.08407120427291,0.02104821815248,0.02139111935813,balanced
30.0,0.02026617378165,0.09695617703721,0.02205104870794,0.02833062748734,balanced
39.0,0.02108571482772,0.08523154596909,0.02048556732573,0.01947926034207,balanced
40.0,0.02115406278466,0.09221417350902,0.02248432908394,0.02212010325576,balanced
14.0,0.0198817929586,0.08312828887715,0.02090302278392,0.01946216321099,balanced
24.0,0.02141418019752,0.10478199613997,0.02068030277346,0.0277246751494,discount_preference
9.0,0.02246295603604,0.08636159400581,0.02371235297701,0.02106091416059,balanced
34.0,0.02188751171,0.08798000329871,0.02142150441404,0.01937130087266,balanced
8.0,0.02161174213838,0.10507023299071,0.02779366856135,0.0206162362647,edu_premium_affinity
7.0,0.0205661706532,0.09103537575783,0.02014773462401,0.02025244674434,balanced
18.0,0.02148564204543,0.0807086650423,0.02052718896211,0.02128438447861,balanced
6.0,0.02118623561413,0.08583774972075,0.02101482315736,0.02878492451757,discount_preference
28.0,0.0210401860642,0.11016480712005,0.0200530652444,0.02775446245147,discount_preference
5.0,0.0198062762162,0.10429642238937,0.02083538350392,0.02724537869216,discount_preference
38.0,0.02217255076934,0.08971884219759,0.0203974604843,0.02003045025946,balanced
4.0,0.02091559435861,0.09168299510634,0.02032575941974,0.03143325979563,discount_preference
13.0,0.01889860412634,0.0908546997161,0.01966549062896,0.02850924812186,discount_preference
3.0,0.02114891141181,0.10476979920191,0.02053949844246,0.02044145535464,balanced
23.0,0.02088082326603,0.10260139770743,0.02631914706437,0.02206730978305,edu_premium_affinity
2.0,0.02100400202836,0.09733363513381,0.02050283051803,0.02823516984217,discount_preference
33.0,0.02207006300843,0.08814563939528,0.02140816042492,0.02077838286954,balanced
1.0,0.02075287497828,0.08565828149875,0.02222284260372,0.02935403629784,discount_preference
17.0,0.02108609006531,0.09563301167977,0.02104705980334,0.02943310078856,discount_preference
27.0,0.02075749043836,0.08763894654812,0.02164439990415,0.02068528978909,balanced
37.0,0.02039432241078,0.09287854733818,0.02601330974889,0.02030403357385,balanced
12.0,0.02015259959935,0.08492108407936,0.02151726166547,0.02173267418508,balanced
22.0,0.02024524974751,0.08895739001366,0.01980125080554,0.01913191280646,balanced
32.0,0.01966633590759,0.11936708513455,0.01999228595091,0.01945426221921,balanced
16.0,0.0207682664215,0.0864688138017,0.02040640841762,0.02142738204105,balanced
26.0,0.02301175789777,0.08373378934021,0.01983317477654,0.02100653664501,balanced
36.0,0.02126192161065,0.10828871131874,0.02018763342828,0.02165633097571,balanced
11.0,0.02068626154888,0.09001280251148,0.02056017938297,0.02203869029523,balanced
21.0,0.02128611296059,0.09252455428506,0.02123225319534,0.0205399608617,balanced
31.0,0.02158430828132,0.09119410318669,0.02157849833999,0.0284517893209,discount_preference
15.0,0.01933445064785,0.10024041011907,0.01880144532829,0.02036692288459,balanced
25.0,0.02057038909755,0.10756983843688,0.02055413393826,0.02197653295673,balanced
