segment_id,channels_engaged,email_engagement,push_engagement,inapp_engagement,engagement_variance,avg_conversion,channel_strategy
35.0,3,0.09480286403442,0.11936423440879,0.09570558100628,0.01381367865257,0.02140573579574,multi_channel
10.0,3,0.07967363656402,0.07837667007248,0.09952375328162,0.01217712586834,0.02089785055825,single_channel
19.0,3,0.08110509926134,0.08144341529926,0.10746043234948,0.01411395502363,0.02073193039866,single_channel
20.0,3,0.08104144235333,0.09896510093466,0.10596553511855,0.01301644190859,0.02201628686392,multi_channel
29.0,3,0.07771638762845,0.10650731262058,0.07615156877124,0.01535861486461,0.02144234468841,single_channel
30.0,3,0.09946562490738,0.09462132273203,0.0928011858852,0.00873851669826,0.02313107829418,multi_channel
39.0,3,0.08010142183666,0.10435117674974,0.07991406093271,0.01344102316076,0.02043185742106,single_channel
40.0,3,0.10601970034179,0.08278259141053,0.08012781364238,0.01478110007481,0.02187684465833,single_channel
14.0,3,0.07843815023153,0.10410149165271,0.07960162531921,0.01342767175134,0.02011151476988,single_channel
24.0,3,0.09821250057205,0.0978027745375,0.11976917080078,0.01297090705397,0.02293160045987,multi_channel
9.0,3,0.0809045749266,0.07911913769029,0.10421816908107,0.01363621096948,0.02249517927084,single_channel
34.0,3,0.10551006210248,0.08187336005911,0.07785232777669,0.01524463806289,0.02102453019492,single_channel
8.0,3,0.09676827153078,0.0930175263244,0.12437351274788,0.01554275954363,0.02343485547756,multi_channel
7.0,3,0.10349853961694,0.07941158545456,0.08009153317281,0.01418265047328,0.02033605970879,single_channel
18.0,3,0.08053601703698,0.07619092885417,0.08144982018256,0.0075368515826,0.02110341587839,single_channel
6.0,3,0.07944047075403,0.10861743987244,0.08151258007864,0.01450945177713,0.02325558827179,single_channel
28.0,3,0.12281542016129,0.09509735198225,0.09769857518483,0.01603058199968,0.0225845623739,multi_channel
5.0,3,0.09602067970287,0.09279185555558,0.12753657909696,0.01764400819668,0.02223912138729,multi_channel
38.0,3,0.10296387200737,0.0803189446403,0.07613909569794,0.01518121202274,0.02096923192966,single_channel
4.0,3,0.10292902896402,0.07883706892341,0.08168338665084,0.01388866182563,0.02365999680176,single_channel
13.0,3,0.08353683571064,0.081007309708,0.10508252213811,0.01222204071795,0.02185032585598,single_channel
3.0,3,0.09736817412089,0.09872777884154,0.12413146311803,0.01497208873776,0.02074362330622,multi_channel
23.0,3,0.09587879726614,0.12462451818956,0.09804871603623,0.01564700139875,0.02306206958223,multi_channel
2.0,3,0.09881726867597,0.09487160063128,0.09595871831503,0.00765198629718,0.02285833070272,multi_channel
33.0,3,0.1033672792359,0.08055526062323,0.08115804872585,0.01371745290271,0.02148334569115,single_channel
1.0,3,0.08137207469679,0.07657363500308,0.10654359845817,0.01436415299207,0.02366098914041,single_channel
17.0,3,0.09552083921428,0.10036662655931,0.09770328246294,0.00788881525956,0.02340998277875,multi_channel
27.0,3,0.07834333859283,0.08204462818872,0.10290734924685,0.01346050247245,0.02103882347493,single_channel
37.0,3,0.09026510643169,0.09655524338582,0.0940478546677,0.00813697105131,0.0222794972314,multi_channel
12.0,3,0.08000674876472,0.08151720829468,0.10497097532856,0.01315227855178,0.02105900558583,single_channel
22.0,3,0.08274611721916,0.08085788650976,0.10433890879272,0.01268864603846,0.01978255576375,single_channel
32.0,3,0.1253559595518,0.09447019843464,0.12872451280307,0.01767095367951,0.01971777828957,multi_channel
16.0,3,0.08016965977611,0.10454547172787,0.08142593096051,0.0129536190149,0.02082978707366,single_channel
26.0,3,0.07988389155808,0.10550320389615,0.08137008678333,0.01375799177047,0.02136957768577,single_channel
36.0,3,0.09802159812089,0.099073089909,0.12544528003781,0.01542089665763,0.02100709825086,multi_channel
11.0,3,0.07827587730643,0.08198487008392,0.10403410141278,0.01337576047705,0.02102207366145,single_channel
21.0,3,0.07764105889899,0.10198330388741,0.10668853704947,0.01552666451322,0.02105887805272,multi_channel
31.0,3,0.10047990003128,0.08121337869246,0.07936106401533,0.01319748184016,0.02350522759235,single_channel
15.0,3,0.09450077217303,0.12972083372445,0.09521830189122,0.01819031334299,0.01944232106549,multi_channel
25.0,3,0.12139597327997,0.09407916655601,0.09707042991156,0.01577712016923,0.02095858262396,multi_channel
